country_name,iso3c,year,e_gdppc,v2x_polyarchy,gini,gini_year,distance_2010,gini_source
Israel,ISR,2010,72.536,0.749,42.6,2010.0,0.0,World Bank SI.POV.GINI
Kuwait,KWT,2010,131.188,0.32,,,,
Lithuania,LTU,2010,46.094,0.846,33.6,2010.0,0.0,World Bank SI.POV.GINI
Luxembourg,LUX,2010,154.109,0.875,30.5,2010.0,0.0,World Bank SI.POV.GINI
North Macedonia,MKD,2010,25.737,0.528,40.1,2010.0,0.0,World Bank SI.POV.GINI
Malaysia,MYS,2010,43.062,0.332,43.6,2011.0,1.0,World Bank SI.POV.GINI
Malta,MLT,2010,59.575,0.821,29.0,2010.0,0.0,World Bank SI.POV.GINI
Mauritius,MUS,2010,43.834,0.75,38.5,2012.0,2.0,World Bank SI.POV.GINI
Montenegro,MNE,2010,29.306,0.498,28.9,2010.0,0.0,World Bank SI.POV.GINI
New Zealand,NZL,2010,76.563,0.896,,,,
Norway,NOR,2010,139.88,0.902,25.7,2010.0,0.0,World Bank SI.POV.GINI
Oman,OMN,2010,65.556,0.157,,,,
Paraguay,PRY,2010,15.718,0.64,51.0,2010.0,0.0,World Bank SI.POV.GINI
Romania,ROU,2010,30.736,0.681,35.5,2010.0,0.0,World Bank SI.POV.GINI
Sao Tome and Principe,STP,2010,6.728,0.677,30.8,2010.0,0.0,World Bank SI.POV.GINI
Saudi Arabia,SAU,2010,68.557,0.02,,,,
Serbia,SRB,2010,24.033,0.612,29.0,2010.0,0.0,World Bank SI.POV.GINI
Seychelles,SYC,2010,46.162,0.477,46.8,2013.0,3.0,World Bank SI.POV.GINI
Singapore,SGP,2010,119.865,0.39,,,,
Slovakia,SVK,2010,53.909,0.852,27.3,2010.0,0.0,World Bank SI.POV.GINI
Slovenia,SVN,2010,65.439,0.873,24.9,2010.0,0.0,World Bank SI.POV.GINI
Solomon Islands,SLB,2010,7.703,0.549,37.1,2012.0,2.0,World Bank SI.POV.GINI
Vanuatu,VUT,2010,6.915,0.735,37.4,2010.0,0.0,World Bank SI.POV.GINI
United Arab Emirates,ARE,2010,115.219,0.071,32.5,2013.0,3.0,World Bank SI.POV.GINI
Hungary,HUN,2010,44.881,0.81,29.4,2010.0,0.0,World Bank SI.POV.GINI
Zanzibar,,2010,,0.311,,,,
